id,role,question,ideal_answer,candidate_answer,score,feedback
1,Mobile Developer,Describe a challenging mobile app feature you implemented.,Use cross-platform frameworks to target iOS/Android efficiently.,Use cross-platform frameworks to target iOS/Android efficiently.,35,Candidate answer is missing 8 key points from ideal response.
2,Frontend Developer,Explain the difference between CSS Grid and Flexbox.,"Use polyfills, feature detection, and test across multiple browsers.",Use test across multiple,57,Candidate answer is missing 5 key points from ideal response.
3,Backend Engineer,Explain how you design a scalable REST API for heavy read traffic.,"Use locks, semaphores, thread pools, and atomic operations for concurrency.","semaphores, thread for",42,Candidate answer is missing 7 key points from ideal response.
4,BI Analyst,Explain ETL process and its importance in BI.,"Track KPIs, financial, operational, and customer metrics.","financial, customer metrics.",70,Candidate answer is missing 4 key points from ideal response.
5,Backend Engineer,How do you handle concurrency in multi-threaded applications?,"Explain modularity, scalability, independent deployment, and fault isolation with microservices.",isolation with,32,Candidate answer is missing 8 key points from ideal response.
6,ML Engineer,Describe a CNN architecture you implemented and its use case.,"Use resampling, class weighting, or synthetic data generation for imbalanced data.",Use synthetic generation imbalanced data.,50,Candidate answer is missing 6 key points from ideal response.
7,Cloud Engineer,What are the benefits of using containers over virtual machines?,"Automate build, test, and deployment with CI/CD pipelines.","build, test, and CI/CD pipelines.",78,Candidate answer is missing 3 key points from ideal response.
8,Data Scientist,What steps are involved in building a machine learning pipeline?,"Use correlation, feature importance, PCA, or regularization methods for selection.","correlation, PCA, or regularization selection.",59,Candidate answer is missing 5 key points from ideal response.
9,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Apply NLP techniques like tokenization, embedding, and model evaluation for text data.","NLP like embedding, model",32,Candidate answer is missing 8 key points from ideal response.
10,DevOps Engineer,How do you monitor application performance in production?,"High availability via load balancers, replication, failover strategies.",High strategies.,50,Candidate answer is missing 6 key points from ideal response.
11,Mobile Developer,How do you handle state management in Flutter or React Native?,"Optimize performance via lazy loading, efficient rendering, caching, and async tasks.","lazy rendering, caching, and",49,Candidate answer is missing 7 key points from ideal response.
12,HR Manager,How do you handle conflict resolution between employees?,"Regular feedback, measurable KPIs, and continuous improvement in appraisal systems.","feedback, measurable and improvement in systems.",64,Candidate answer is missing 4 key points from ideal response.
13,Mobile Developer,How do you implement secure authentication in mobile apps?,"Implement secure auth via OAuth2, token management, and encryption.","token management,",39,Candidate answer is missing 7 key points from ideal response.
14,Cloud Engineer,How would you design a fault-tolerant system on AWS?,"Use multiple availability zones, auto-scaling groups, load balancers, and backups.","Use availability zones, auto-scaling groups, load backups.",75,Candidate answer is missing 3 key points from ideal response.
15,Backend Engineer,What are the advantages of using microservices architecture?,"Optimize queries with indexes, proper joins, and query profiling tools.",Optimize with and query tools.,62,Candidate answer is missing 5 key points from ideal response.
16,DevOps Engineer,What steps do you take for incident management?,"Follow incident management with detection, escalation, mitigation, and post-mortem.","Follow incident with mitigation, and post-mortem.",78,Candidate answer is missing 3 key points from ideal response.
17,DevOps Engineer,What steps do you take for incident management?,"CI/CD automates build, test, and deployment pipelines.","CI/CD automates build, test, and deployment pipelines.",34,Candidate answer is missing 8 key points from ideal response.
18,Backend Engineer,Describe a situation where you improved system latency.,"Optimize queries with indexes, proper joins, and query profiling tools.","Optimize queries indexes, proper joins, and query tools.",81,Candidate answer is missing 2 key points from ideal response.
19,Frontend Developer,Explain the difference between CSS Grid and Flexbox.,CSS Grid provides 2D layouts; Flexbox provides 1D layout control.,CSS Grid provides 2D layouts; Flexbox layout control.,82,Candidate answer is missing 2 key points from ideal response.
20,Data Scientist,Explain feature selection techniques you use in predictive modeling.,"Apply cross-validation, monitor learning curves, and regularization to avoid overfitting.",Apply learning and overfitting.,52,Candidate answer is missing 6 key points from ideal response.
21,Cybersecurity Specialist,Describe steps to secure a cloud environment.,Follow structured pentesting methodology and report findings.,Follow structured pentesting methodology and report findings.,38,Candidate answer is missing 8 key points from ideal response.
22,Frontend Developer,How do you handle browser compatibility issues?,CSS Grid provides 2D layouts; Flexbox provides 1D layout control.,provides 2D provides layout control.,56,Candidate answer is missing 5 key points from ideal response.
23,Cybersecurity Specialist,What measures do you take to prevent phishing attacks?,"Secure cloud via IAM, encryption, logging, and monitoring.","Secure cloud via IAM, encryption, logging, and monitoring.",36,Candidate answer is missing 8 key points from ideal response.
24,ML Engineer,Explain transfer learning and its advantages.,"Bagging reduces variance (parallel), boosting reduces bias (sequential focus on errors).","Bagging variance (parallel), (sequential focus",54,Candidate answer is missing 6 key points from ideal response.
25,DevOps Engineer,Describe how you use containers and orchestration tools.,"Use Docker, Kubernetes, and orchestration for scalable deployments.","Use Docker, orchestration for scalable deployments.",85,Candidate answer is missing 2 key points from ideal response.
26,Cybersecurity Specialist,Describe steps to secure a cloud environment.,"Perform vulnerability scans, pen-testing, and remediation.","Perform scans, remediation.",74,Candidate answer is missing 3 key points from ideal response.
27,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Include data collection, preprocessing, feature engineering, model training, validation, and deployment.","feature engineering, validation,",32,Candidate answer is missing 8 key points from ideal response.
28,BI Analyst,How do you design dashboards for actionable insights?,Design dashboards showing actionable metrics with clarity.,dashboards,57,Candidate answer is missing 6 key points from ideal response.
29,DevOps Engineer,How do you monitor application performance in production?,"CI/CD automates build, test, and deployment pipelines.","build,",56,Candidate answer is missing 6 key points from ideal response.
30,BI Analyst,What metrics do you track to measure business performance?,"Improve reporting via automation, optimization, and visualization.","reporting automation,",56,Candidate answer is missing 5 key points from ideal response.
31,ML Engineer,Explain transfer learning and its advantages.,"Use dropout, regularization, early stopping, data augmentation, cross-validation.","regularization,",41,Candidate answer is missing 7 key points from ideal response.
32,Frontend Developer,Describe a UI component you built that improved usability.,"Improved usability via reusable components, accessibility, and responsive design.","usability via components, accessibility,",57,Candidate answer is missing 5 key points from ideal response.
33,Frontend Developer,Explain the difference between CSS Grid and Flexbox.,"Use polyfills, feature detection, and test across multiple browsers.",and,40,Candidate answer is missing 8 key points from ideal response.
34,HR Manager,How would you reduce bias in recruitment?,"Career growth, recognition, work-life balance, competitive pay, supportive culture.","growth, recognition, work-life competitive pay,",63,Candidate answer is missing 4 key points from ideal response.
35,Frontend Developer,What strategies ensure responsive web design across devices?,CSS Grid provides 2D layouts; Flexbox provides 1D layout control.,CSS Grid provides 2D layouts; Flexbox provides,79,Candidate answer is missing 3 key points from ideal response.
36,DevOps Engineer,Explain the role of CI/CD in software development.,"Follow incident management with detection, escalation, mitigation, and post-mortem.",incident,40,Candidate answer is missing 8 key points from ideal response.
37,DevOps Engineer,How do you monitor application performance in production?,"CI/CD automates build, test, and deployment pipelines.",CI/CD automates and pipelines.,77,Candidate answer is missing 3 key points from ideal response.
38,Backend Engineer,How do you handle concurrency in multi-threaded applications?,"Use locks, semaphores, thread pools, and atomic operations for concurrency.","Use locks, thread pools, and atomic for",71,Candidate answer is missing 3 key points from ideal response.
39,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Use correlation, feature importance, PCA, or regularization methods for selection.","PCA, methods",32,Candidate answer is missing 8 key points from ideal response.
40,Mobile Developer,Describe a challenging mobile app feature you implemented.,"Manage state with providers, blocs, or context APIs in Flutter/React Native.","Manage state with providers, or APIs in Native.",74,Candidate answer is missing 3 key points from ideal response.
41,Cybersecurity Specialist,How do you perform a vulnerability assessment?,Follow structured pentesting methodology and report findings.,structured pentesting methodology and,79,Candidate answer is missing 3 key points from ideal response.
42,DevOps Engineer,Describe how you use containers and orchestration tools.,"Use Docker, Kubernetes, and orchestration for scalable deployments.","Use Docker, Kubernetes, and orchestration for scalable deployments.",38,Candidate answer is missing 8 key points from ideal response.
43,DevOps Engineer,Explain the role of CI/CD in software development.,"Follow incident management with detection, escalation, mitigation, and post-mortem.","Follow incident with detection, escalation, and",75,Candidate answer is missing 3 key points from ideal response.
44,Frontend Developer,What strategies ensure responsive web design across devices?,"Use flexible grids, media queries, fluid images, and test across breakpoints.","Use flexible media queries, images, and test breakpoints.",73,Candidate answer is missing 3 key points from ideal response.
45,ML Engineer,How do you prevent overfitting in deep learning models?,"Use dropout, regularization, early stopping, data augmentation, cross-validation.","dropout, regularization, stopping, cross-validation.",67,Candidate answer is missing 4 key points from ideal response.
46,ML Engineer,How do you prevent overfitting in deep learning models?,"Implement CNN with layers like conv, pooling, fully connected for classification tasks.","Implement CNN with layers like conv, pooling, fully connected tasks.",85,Candidate answer is missing 2 key points from ideal response.
47,Backend Engineer,Describe a situation where you improved system latency.,"Use locks, semaphores, thread pools, and atomic operations for concurrency.","Use locks, semaphores, thread pools, and atomic for",85,Candidate answer is missing 2 key points from ideal response.
48,HR Manager,What approaches do you use for talent acquisition?,"Career growth, recognition, work-life balance, competitive pay, supportive culture.","Career recognition, work-life balance, competitive supportive",80,Candidate answer is missing 3 key points from ideal response.
49,Mobile Developer,Describe how you optimize mobile app performance.,"Optimize performance via lazy loading, efficient rendering, caching, and async tasks.","efficient rendering, tasks.",38,Candidate answer is missing 8 key points from ideal response.
50,Frontend Developer,How do you optimize a webpage for performance?,"Improved usability via reusable components, accessibility, and responsive design.",Improved responsive design.,52,Candidate answer is missing 6 key points from ideal response.
51,Mobile Developer,Describe how you optimize mobile app performance.,"Manage state with providers, blocs, or context APIs in Flutter/React Native.","Manage with providers, APIs in Flutter/React Native.",71,Candidate answer is missing 4 key points from ideal response.
52,DevOps Engineer,Describe how you use containers and orchestration tools.,"High availability via load balancers, replication, failover strategies.","High availability via replication, failover strategies.",79,Candidate answer is missing 2 key points from ideal response.
53,BI Analyst,How do you design dashboards for actionable insights?,"ETL extracts, transforms, loads data for analysis.","transforms, loads data for analysis.",88,Candidate answer is missing 2 key points from ideal response.
54,Frontend Developer,What strategies ensure responsive web design across devices?,"Improved usability via reusable components, accessibility, and responsive design.","components,",37,Candidate answer is missing 8 key points from ideal response.
55,BI Analyst,What metrics do you track to measure business performance?,"Improve reporting via automation, optimization, and visualization.","Improve reporting via automation, optimization, and visualization.",35,Candidate answer is missing 8 key points from ideal response.
56,BI Analyst,Describe a project where you improved reporting efficiency.,"ETL extracts, transforms, loads data for analysis.","ETL extracts, transforms, loads data for analysis.",31,Candidate answer is missing 8 key points from ideal response.
57,Mobile Developer,Describe how you optimize mobile app performance.,"Optimize performance via lazy loading, efficient rendering, caching, and async tasks.","Optimize via loading, efficient rendering, caching, and async",81,Candidate answer is missing 3 key points from ideal response.
58,Frontend Developer,Explain the difference between CSS Grid and Flexbox.,"Use flexible grids, media queries, fluid images, and test across breakpoints.",Use media fluid across,39,Candidate answer is missing 7 key points from ideal response.
59,HR Manager,What approaches do you use for talent acquisition?,"Use social media, employee referrals, and targeted recruitment strategies.","Use employee referrals, and strategies.",68,Candidate answer is missing 4 key points from ideal response.
60,DevOps Engineer,What steps do you take for incident management?,"Use Docker, Kubernetes, and orchestration for scalable deployments.","Use Docker, and for scalable",76,Candidate answer is missing 3 key points from ideal response.
61,DevOps Engineer,Describe how you use containers and orchestration tools.,"CI/CD automates build, test, and deployment pipelines.",automates and,58,Candidate answer is missing 5 key points from ideal response.
62,BI Analyst,What metrics do you track to measure business performance?,"Handle missing data via imputation, cleaning, or data validation.",via validation.,44,Candidate answer is missing 7 key points from ideal response.
63,Cloud Engineer,How would you design a fault-tolerant system on AWS?,"Optimize costs via rightsizing, reserved instances, and efficient storage.","Optimize costs rightsizing, reserved instances, efficient storage.",81,Candidate answer is missing 2 key points from ideal response.
64,Frontend Developer,What strategies ensure responsive web design across devices?,"Use polyfills, feature detection, and test across multiple browsers.","polyfills, feature browsers.",48,Candidate answer is missing 6 key points from ideal response.
65,DevOps Engineer,How do you ensure high availability in production systems?,"Use Docker, Kubernetes, and orchestration for scalable deployments.","Use Kubernetes, orchestration for scalable deployments.",81,Candidate answer is missing 2 key points from ideal response.
66,Backend Engineer,Explain how you design a scalable REST API for heavy read traffic.,"Mention RESTful design, caching strategies, pagination, DB indexing, load balancing, and CDN usage.","Mention RESTful design, caching pagination, DB balancing, CDN usage.",66,Candidate answer is missing 4 key points from ideal response.
67,Mobile Developer,How do you implement secure authentication in mobile apps?,"Implement secure auth via OAuth2, token management, and encryption.",Implement secure via token,62,Candidate answer is missing 5 key points from ideal response.
68,HR Manager,What strategies improve employee retention?,"Use social media, employee referrals, and targeted recruitment strategies.",Use employee,47,Candidate answer is missing 7 key points from ideal response.
69,BI Analyst,What metrics do you track to measure business performance?,"Handle missing data via imputation, cleaning, or data validation.",validation.,39,Candidate answer is missing 8 key points from ideal response.
70,Data Scientist,How do you evaluate model performance and avoid overfitting?,"Use correlation, feature importance, PCA, or regularization methods for selection.","correlation, for",37,Candidate answer is missing 8 key points from ideal response.
71,BI Analyst,How do you design dashboards for actionable insights?,"Handle missing data via imputation, cleaning, or data validation.","missing data via cleaning, validation.",63,Candidate answer is missing 4 key points from ideal response.
72,BI Analyst,How do you design dashboards for actionable insights?,"ETL extracts, transforms, loads data for analysis.","ETL extracts, transforms, loads data for analysis.",39,Candidate answer is missing 7 key points from ideal response.
73,HR Manager,How do you handle conflict resolution between employees?,"Structured interviews, blind CV screening, diverse panels, AI bias detection.","interviews, blind CV screening, panels, bias",70,Candidate answer is missing 4 key points from ideal response.
74,DevOps Engineer,Describe how you use containers and orchestration tools.,"High availability via load balancers, replication, failover strategies.",load failover strategies.,57,Candidate answer is missing 5 key points from ideal response.
75,BI Analyst,What metrics do you track to measure business performance?,"Track KPIs, financial, operational, and customer metrics.",Track customer,56,Candidate answer is missing 5 key points from ideal response.
76,Backend Engineer,Describe a situation where you improved system latency.,"Use locks, semaphores, thread pools, and atomic operations for concurrency.","semaphores, thread concurrency.",47,Candidate answer is missing 7 key points from ideal response.
77,BI Analyst,How do you handle missing or inconsistent data in BI?,"Track KPIs, financial, operational, and customer metrics.","KPIs, and customer",63,Candidate answer is missing 4 key points from ideal response.
78,Cybersecurity Specialist,How do you respond to a data breach incident?,"Prevent phishing via training, filters, and monitoring.","Prevent training, filters, and",72,Candidate answer is missing 3 key points from ideal response.
79,Cloud Engineer,Describe strategies to optimize cloud costs.,"Automate build, test, and deployment with CI/CD pipelines.","test, CI/CD",51,Candidate answer is missing 6 key points from ideal response.
80,DevOps Engineer,Explain the role of CI/CD in software development.,"Use Docker, Kubernetes, and orchestration for scalable deployments.","Docker, and for",57,Candidate answer is missing 5 key points from ideal response.
81,Cybersecurity Specialist,How do you perform a vulnerability assessment?,"Secure cloud via IAM, encryption, logging, and monitoring.",Secure cloud,53,Candidate answer is missing 6 key points from ideal response.
82,Mobile Developer,How do you handle state management in Flutter or React Native?,"Manage state with providers, blocs, or context APIs in Flutter/React Native.","Manage with blocs, or context APIs in Flutter/React",77,Candidate answer is missing 3 key points from ideal response.
83,BI Analyst,How do you design dashboards for actionable insights?,"Improve reporting via automation, optimization, and visualization.","Improve reporting via automation, optimization, and visualization.",41,Candidate answer is missing 7 key points from ideal response.
84,Mobile Developer,Explain strategies for cross-platform mobile development.,Use cross-platform frameworks to target iOS/Android efficiently.,frameworks iOS/Android efficiently.,68,Candidate answer is missing 4 key points from ideal response.
85,Data Scientist,Explain feature selection techniques you use in predictive modeling.,"Include data collection, preprocessing, feature engineering, model training, validation, and deployment.","engineering, model and",32,Candidate answer is missing 8 key points from ideal response.
86,Backend Engineer,Describe a situation where you improved system latency.,"Use locks, semaphores, thread pools, and atomic operations for concurrency.","Use thread pools, and atomic operations concurrency.",75,Candidate answer is missing 3 key points from ideal response.
87,ML Engineer,How do you handle imbalanced data in deep learning?,"Use dropout, regularization, early stopping, data augmentation, cross-validation.",data,39,Candidate answer is missing 7 key points from ideal response.
88,Cybersecurity Specialist,Explain penetration testing methodology you follow.,"Secure cloud via IAM, encryption, logging, and monitoring.","encryption, logging, and",63,Candidate answer is missing 5 key points from ideal response.
89,Frontend Developer,What strategies ensure responsive web design across devices?,"Use flexible grids, media queries, fluid images, and test across breakpoints.","grids, media queries, fluid across breakpoints.",60,Candidate answer is missing 5 key points from ideal response.
90,Cloud Engineer,How would you design a fault-tolerant system on AWS?,"Automate build, test, and deployment with CI/CD pipelines.",with CI/CD pipelines.,63,Candidate answer is missing 5 key points from ideal response.
91,BI Analyst,How do you handle missing or inconsistent data in BI?,"Track KPIs, financial, operational, and customer metrics.","Track KPIs, financial, customer metrics.",89,Candidate answer is missing 2 key points from ideal response.
92,Backend Engineer,Describe a situation where you improved system latency.,"Mention RESTful design, caching strategies, pagination, DB indexing, load balancing, and CDN usage.","Mention caching strategies, pagination, balancing, and usage.",48,Candidate answer is missing 6 key points from ideal response.
93,Backend Engineer,Explain how you design a scalable REST API for heavy read traffic.,"Mention RESTful design, caching strategies, pagination, DB indexing, load balancing, and CDN usage.","RESTful caching pagination, DB indexing, and usage.",52,Candidate answer is missing 6 key points from ideal response.
94,Frontend Developer,How do you optimize a webpage for performance?,"Use polyfills, feature detection, and test across multiple browsers.",Use across,40,Candidate answer is missing 7 key points from ideal response.
95,ML Engineer,Explain the difference between bagging and boosting.,"Bagging reduces variance (parallel), boosting reduces bias (sequential focus on errors).",reduces variance boosting errors).,49,Candidate answer is missing 7 key points from ideal response.
96,HR Manager,What approaches do you use for talent acquisition?,"Use social media, employee referrals, and targeted recruitment strategies.",social employee and recruitment,65,Candidate answer is missing 5 key points from ideal response.
97,Data Scientist,What steps are involved in building a machine learning pipeline?,"Include data collection, preprocessing, feature engineering, model training, validation, and deployment.","Include data collection, preprocessing, model training, validation, and",79,Candidate answer is missing 3 key points from ideal response.
98,Frontend Developer,What strategies ensure responsive web design across devices?,"Improved usability via reusable components, accessibility, and responsive design.","components,",33,Candidate answer is missing 8 key points from ideal response.
99,Backend Engineer,How do you optimize database queries for performance?,"Explain modularity, scalability, independent deployment, and fault isolation with microservices.","Explain modularity, scalability, fault isolation with microservices.",75,Candidate answer is missing 3 key points from ideal response.
100,Mobile Developer,How do you handle state management in Flutter or React Native?,"Solve complex features via modular code, testing, and debugging.","modular testing, and",56,Candidate answer is missing 6 key points from ideal response.
101,Data Scientist,What steps are involved in building a machine learning pipeline?,"Apply NLP techniques like tokenization, embedding, and model evaluation for text data.","Apply techniques like tokenization, embedding, and evaluation text",68,Candidate answer is missing 4 key points from ideal response.
102,ML Engineer,Explain transfer learning and its advantages.,"Use dropout, regularization, early stopping, data augmentation, cross-validation.","Use dropout, regularization, early stopping, data augmentation, cross-validation.",39,Candidate answer is missing 8 key points from ideal response.
