EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,HourlyRate,DailyRate,PercentSalaryHike,DistanceFromHome,BusinessTravel,OverTime,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,StockOptionLevel,Attrition,Over18,StandardHours
1,23,Male,Divorced,3,Medical,Research & Development,Research Scientist,1,21,8,1,6,1512,9.45,75.6,5,3,Travel_Rarely,Yes,8,21,4,2,4,2,4,3,4,0,No,Y,80
2,49,Male,Married,3,Medical,Research & Development,Lab Technician,1,2,2,1,2,4581,28.63,229.04,24,9,Travel_Rarely,No,8,5,3,1,3,3,2,1,3,1,No,Y,80
3,36,Male,Single,4,Marketing,Finance,Finance Manager,3,5,5,5,3,23364,146.03,1168.24,13,23,Non-Travel,Yes,9,10,4,2,2,4,4,3,4,1,No,Y,80
4,36,Male,Single,3,Technical Degree,Human Resources,HR Associate,2,29,9,5,3,15285.6,95.53,764.24,20,13,Non-Travel,No,2,37,1,2,3,4,4,3,3,1,No,Y,80
5,25,Male,Single,2,Other,Research & Development,R&D Manager,4,19,1,1,6,28231.2,176.44,1411.52,19,17,Travel_Frequently,Yes,1,27,6,3,1,3,4,2,3,2,No,Y,80
6,54,Male,Single,3,Other,IT,IT Manager,2,4,4,2,4,17708.4,110.68,885.44,21,30,Travel_Rarely,No,7,4,0,3,3,2,1,2,4,0,Yes,Y,80
7,26,Female,Divorced,2,Medical,Finance,Finance Manager,2,8,8,6,3,13002,81.26,650.08,11,23,Travel_Frequently,No,5,22,4,4,1,2,2,1,3,1,No,Y,80
8,26,Male,Divorced,1,Medical,Sales,Sales Executive,3,2,2,2,2,23328,145.8,1166.4,20,7,Non-Travel,Yes,9,17,1,4,4,2,1,1,3,2,No,Y,80
9,25,Female,Divorced,1,Life Sciences,Finance,Finance Manager,3,25,1,1,3,9208.8,57.55,460.4,22,15,Travel_Rarely,No,2,33,3,2,1,4,1,1,3,0,No,Y,80
10,32,Male,Married,4,Technical Degree,Research & Development,Lab Technician,1,5,5,0,5,3807,23.79,190.32,19,10,Travel_Frequently,No,2,11,2,2,1,1,3,1,3,3,No,Y,80
11,25,Male,Divorced,1,Medical,Sales,Sales Manager,1,21,3,3,1,6799.8,42.5,340,12,19,Non-Travel,Yes,9,23,3,3,3,2,3,2,3,1,No,Y,80
12,51,Female,Married,1,Life Sciences,Finance,Finance Manager,5,3,1,1,3,19035,118.97,951.76,9,30,Travel_Frequently,Yes,3,14,2,2,4,3,1,3,4,0,No,Y,80
13,38,Male,Single,1,Other,IT,Systems Administrator,3,9,9,3,5,9603,60.02,480.16,25,28,Travel_Frequently,No,4,10,0,4,3,1,1,3,3,2,No,Y,80
14,57,Female,Divorced,4,Human Resources,Sales,Sales Executive,1,30,2,0,5,6925.8,43.29,346.32,22,5,Travel_Frequently,Yes,0,39,2,1,3,2,2,1,3,3,No,Y,80
15,37,Male,Single,2,Technical Degree,Sales,Sales Executive,3,25,6,3,4,8294.4,51.84,414.72,8,13,Travel_Rarely,No,3,31,6,4,3,3,2,2,3,1,No,Y,80
16,26,Female,Married,3,Other,IT,Software Engineer,5,10,0,0,4,14775,92.34,738.72,23,9,Travel_Rarely,Yes,9,23,2,3,4,1,4,2,3,3,Yes,Y,80
