role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack
Senior,Business Analyst,35,29,2,2,14,35,26,4
Trainee,Data Analyst,29,10,1,1,1,47,19,1
Senior,Database Administrator,29,17,4,1,13,6,17,3
Senior,Data Analyst,48,14,4,5,8,21,12,2
Trainee,Data Analyst,33,8,3,3,18,13,5,4
Trainee,Business Analyst,22,4,4,5,9,47,9,2
Senior,System Administrator,32,26,1,3,13,28,36,4
Junior,DevOps Engineer,52,16,5,3,3,49,28,2
Senior,UX Designer,38,24,3,2,18,15,5,4
Senior,Business Analyst,54,13,1,2,10,47,38,4
Senior,Data Scientist,53,22,3,2,5,33,10,1
Senior,DevOps Engineer,50,27,5,2,6,9,24,2
Trainee,Data Scientist,42,25,5,3,8,6,29,3
Senior,DevOps Engineer,42,27,2,1,7,24,19,2
Junior,System Administrator,44,20,4,2,18,26,36,5
Trainee,QA Tester,27,18,1,2,14,14,15,4
Junior,Data Scientist,43,14,1,3,15,31,30,5
Junior,Business Analyst,59,18,3,4,10,27,28,3
Junior,DevOps Engineer,58,5,4,5,12,8,5,3
Junior,Data Analyst,29,26,4,2,7,6,28,3
Trainee,Network Engineer,56,9,2,1,7,15,31,3
Trainee,Product Manager,32,28,1,2,11,25,8,2
Junior,Database Administrator,45,3,3,5,13,34,36,5
Junior,Data Analyst,42,8,1,1,15,16,22,4
Trainee,Software Engineer,23,20,1,4,18,22,15,5
Trainee,QA Tester,40,22,2,3,7,7,17,2
Trainee,QA Tester,49,10,3,1,6,1,18,2
Senior,Data Analyst,38,22,2,2,11,30,1,2
Senior,Database Administrator,27,19,3,2,8,31,9,2
Senior,UX Designer,40,21,1,5,1,28,11,1
Junior,System Administrator,59,28,1,3,8,2,17,2
Senior,Data Scientist,49,3,4,3,8,7,18,2
Junior,Business Analyst,23,11,1,3,19,1,37,5
Junior,QA Tester,59,11,4,4,3,30,36,2
Senior,Data Analyst,58,17,1,3,5,48,26,2
Junior,Data Analyst,25,16,2,1,3,36,13,1
Senior,System Administrator,43,7,1,2,15,19,33,5
Senior,System Administrator,47,4,1,1,14,28,1,3
Trainee,UI Designer,57,23,3,4,15,16,32,5
Senior,UI Designer,34,19,5,1,17,9,18,5
Trainee,UX Designer,53,12,1,3,18,40,26,5
Senior,Network Engineer,38,15,3,2,2,21,29,1
Senior,Network Engineer,57,11,4,5,12,5,6,3
Trainee,UX Designer,40,5,3,2,16,42,26,5
Trainee,Software Engineer,56,5,5,2,4,33,20,1
Senior,UX Designer,49,15,1,5,2,30,6,1
Junior,DevOps Engineer,22,29,5,3,14,11,24,4
Trainee,System Administrator,39,18,2,5,11,11,37,4
Junior,Database Administrator,54,11,2,1,13,15,17,3
Junior,Network Engineer,33,26,5,2,7,24,32,3
Junior,Business Analyst,29,12,3,4,10,21,32,4
Trainee,DevOps Engineer,45,2,3,5,1,26,31,1
Junior,Data Scientist,37,20,4,2,4,23,24,2
Trainee,Data Analyst,25,15,3,5,18,11,13,5
Junior,UX Designer,59,20,1,3,6,17,37,3
Senior,Database Administrator,48,4,4,5,2,44,37,2
Senior,Data Analyst,30,22,1,2,3,46,3,1
Trainee,QA Tester,37,18,5,2,14,15,17,4
Senior,Software Engineer,33,6,5,5,8,3,9,2
Senior,QA Tester,52,23,2,5,16,11,34,5
Junior,Software Engineer,45,27,3,3,19,48,34,5
Trainee,UI Designer,35,26,1,1,18,32,39,5
Junior,Data Analyst,46,19,1,1,6,21,22,2
Junior,Software Engineer,55,11,5,3,14,17,24,4
Junior,Security Analyst,24,28,1,1,3,47,0,1
Junior,Network Engineer,45,24,3,2,16,32,17,4
Junior,Security Analyst,30,2,5,2,1,26,14,1
Junior,Security Analyst,47,27,5,4,12,41,24,4
Junior,Product Manager,41,8,3,1,14,18,31,4
Trainee,Network Engineer,31,29,3,3,19,47,19,5
Senior,DevOps Engineer,40,11,4,3,19,13,16,5
Junior,Database Administrator,24,5,5,4,9,24,10,2
Junior,Software Engineer,45,18,3,3,7,33,12,2
Junior,Software Engineer,26,23,3,2,14,23,24,4
Junior,DevOps Engineer,24,18,1,4,5,37,19,2
Junior,Data Analyst,48,14,1,5,18,22,24,5
Junior,Data Analyst,37,22,3,4,9,4,30,3
Senior,Security Analyst,36,10,5,5,7,43,0,1
Senior,DevOps Engineer,56,3,5,4,9,35,15,3
Junior,Network Engineer,33,9,5,4,4,23,27,2
Senior,Security Analyst,47,3,3,1,17,35,20,5
Trainee,QA Tester,55,11,4,3,12,4,29,4
Junior,Product Manager,44,12,5,3,6,38,2,1
Trainee,Business Analyst,52,12,4,2,18,5,33,5
Trainee,Data Scientist,41,3,2,3,8,44,5,2
Junior,Product Manager,33,21,3,2,15,35,28,5
Senior,Data Analyst,44,7,5,4,3,44,2,1
Trainee,Database Administrator,25,14,2,3,2,3,32,1
Junior,Business Analyst,44,24,5,3,9,9,10,2
Trainee,UI Designer,22,28,2,5,8,0,4,2
Trainee,UX Designer,46,11,4,2,4,20,31,2
Trainee,Database Administrator,23,7,4,2,2,39,17,1
Trainee,Security Analyst,51,25,4,2,14,38,19,4
Senior,Software Engineer,24,21,3,5,2,36,38,2
Trainee,DevOps Engineer,42,10,5,3,2,2,39,2
Trainee,Database Administrator,46,11,4,4,7,46,27,3
Trainee,DevOps Engineer,41,15,2,1,12,30,12,3
Senior,Software Engineer,43,19,4,3,6,26,25,2
Trainee,Security Analyst,42,16,2,2,18,16,15,5
Trainee,Database Administrator,54,22,2,4,4,22,24,2
Senior,UX Designer,59,21,2,5,19,12,9,5
Senior,Data Scientist,36,28,5,4,13,46,28,4
Senior,UX Designer,36,20,3,4,2,26,37,2
Trainee,Business Analyst,46,12,4,3,8,19,19,2
Senior,UX Designer,42,18,2,4,19,45,25,5
Senior,Business Analyst,45,23,2,3,9,12,31,3
Trainee,UX Designer,26,13,5,4,4,43,38,3
Senior,Data Scientist,27,5,3,2,16,23,37,5
Trainee,Database Administrator,44,4,5,1,19,40,23,5
Junior,Data Scientist,25,28,1,3,10,2,30,3
Senior,Data Analyst,48,14,1,3,6,42,39,3
Junior,Software Engineer,39,8,5,2,16,9,11,4
Trainee,Data Scientist,42,9,4,4,10,0,35,4
Senior,Business Analyst,49,25,1,1,13,48,9,3
Trainee,Data Scientist,56,19,2,2,9,12,5,2
Junior,Data Analyst,43,3,5,4,7,13,6,2
Trainee,DevOps Engineer,44,5,3,3,4,32,30,2
Senior,Business Analyst,24,21,4,4,19,1,26,5
Senior,Data Analyst,31,26,2,3,4,1,7,1
Junior,QA Tester,46,18,2,5,19,38,2,4
Trainee,QA Tester,29,1,5,4,19,40,39,5
Senior,UI Designer,32,8,2,1,12,30,20,3
Junior,UX Designer,26,19,3,2,13,3,0,3
Senior,Software Engineer,58,17,5,1,4,33,14,1
Senior,System Administrator,59,17,2,5,10,18,6,2
Trainee,Product Manager,50,11,3,1,7,36,14,2
Senior,Data Analyst,26,2,4,2,5,8,24,2
Trainee,DevOps Engineer,30,6,3,2,17,23,2,4
Senior,Product Manager,23,22,3,5,18,12,29,5
Junior,DevOps Engineer,22,14,2,2,11,43,13,3
Senior,Network Engineer,51,3,3,5,15,29,3,4
Trainee,Network Engineer,32,12,4,1,7,18,35,3
Trainee,Network Engineer,49,4,4,1,18,40,2,4
Junior,Product Manager,33,12,1,2,6,9,4,1
Senior,Data Analyst,47,13,4,5,18,41,24,5
Senior,System Administrator,34,2,5,5,16,43,30,5
Junior,Product Manager,29,2,3,1,2,13,10,1
Senior,Data Analyst,49,15,4,1,19,39,7,5
Senior,Data Scientist,51,23,3,4,1,47,25,1
Trainee,System Administrator,30,29,5,1,11,48,1,2
Senior,Network Engineer,52,17,5,1,5,19,27,2
Senior,Business Analyst,42,7,1,1,16,3,9,4
Junior,DevOps Engineer,55,28,3,1,1,37,38,1
Junior,Network Engineer,52,14,2,2,19,43,36,5
Trainee,QA Tester,46,12,2,1,14,49,38,5
Senior,UX Designer,33,17,1,2,3,38,20,1
Senior,QA Tester,22,14,5,5,2,4,27,2
Senior,Network Engineer,43,6,1,2,5,41,37,2
Trainee,System Administrator,58,19,3,4,17,31,32,5
Trainee,Business Analyst,22,24,4,1,18,5,10,4
Junior,DevOps Engineer,22,6,2,4,1,13,0,1
Trainee,Business Analyst,42,27,5,2,15,5,32,5
Senior,Product Manager,36,18,5,4,9,13,2,2
Senior,Database Administrator,38,24,3,1,5,11,25,2
Trainee,DevOps Engineer,43,5,3,5,13,26,14,4
Senior,Network Engineer,59,24,2,2,19,25,13,5
Senior,Product Manager,56,24,4,2,10,11,22,3
Trainee,Database Administrator,37,6,1,5,14,7,7,3
Trainee,Data Analyst,29,2,4,3,12,9,35,4
Senior,System Administrator,38,8,5,2,11,15,19,3
Senior,Security Analyst,38,15,2,5,7,25,5,1
Senior,Data Analyst,47,15,5,2,17,7,32,5
Junior,UI Designer,34,11,1,1,18,40,27,5
Junior,Business Analyst,38,22,5,5,7,44,37,3
Junior,Security Analyst,59,22,1,2,6,28,29,2
Trainee,Product Manager,38,24,4,5,11,19,16,3
Junior,Data Scientist,35,1,2,1,12,16,8,3
Trainee,Data Analyst,27,18,5,4,16,18,27,5
Trainee,UI Designer,56,12,3,3,19,16,6,5
Junior,Software Engineer,35,12,1,5,19,38,27,5
Junior,Security Analyst,29,25,3,3,11,0,16,3
Junior,QA Tester,36,11,2,1,16,28,39,5
Senior,DevOps Engineer,48,28,4,4,12,13,4,3
Junior,UI Designer,34,8,5,1,8,16,4,2
Senior,System Administrator,52,28,3,5,3,12,13,1
Trainee,Security Analyst,56,7,2,5,2,28,5,1
Senior,Data Analyst,27,23,1,3,6,33,6,1
Junior,System Administrator,26,21,3,4,16,26,16,4
Trainee,QA Tester,43,2,2,1,15,45,8,3
Trainee,Data Scientist,44,11,2,3,14,32,30,4
Trainee,Business Analyst,46,22,1,2,2,28,21,1
Senior,Business Analyst,55,10,3,4,18,36,8,5
Junior,Network Engineer,47,3,5,1,14,38,15,4
Trainee,System Administrator,26,20,2,4,18,18,35,5
Trainee,Product Manager,47,29,3,1,2,45,33,1
Trainee,Data Scientist,41,10,4,4,1,23,12,1
Senior,Business Analyst,27,28,4,1,2,13,18,1
Senior,Data Scientist,27,27,2,5,9,46,11,2
Junior,UI Designer,39,18,4,1,9,36,35,3
Senior,Data Scientist,25,14,5,3,16,4,9,4
Trainee,UX Designer,38,18,1,2,11,23,15,3
Junior,QA Tester,35,28,3,4,6,33,27,2
Trainee,Business Analyst,35,24,2,2,12,49,18,3
Trainee,Data Scientist,34,8,2,4,3,30,39,2
Senior,System Administrator,28,10,3,2,12,29,5,3
Junior,Software Engineer,36,22,4,4,1,8,3,1
Senior,UX Designer,40,13,1,1,9,26,29,3
Senior,UX Designer,56,21,3,2,6,27,38,3
Junior,Product Manager,38,8,3,3,11,41,30,4
Trainee,Data Scientist,56,4,3,1,3,25,26,1
Trainee,Network Engineer,40,27,4,1,4,17,20,1
Junior,Product Manager,41,4,2,5,10,35,36,4
Trainee,Database Administrator,57,5,5,5,19,7,8,5
Junior,Product Manager,56,1,3,4,6,17,34,3
Junior,Software Engineer,53,17,3,2,1,19,20,1
Senior,UI Designer,45,2,5,2,8,31,16,2
Junior,Data Scientist,38,8,2,4,8,28,23,3
Senior,Data Analyst,28,7,1,1,6,48,30,2
Trainee,Business Analyst,22,15,4,5,17,47,5,4
Trainee,Product Manager,56,26,3,2,19,17,34,5
Trainee,QA Tester,53,25,5,5,1,6,36,2
Trainee,DevOps Engineer,57,5,5,3,15,0,12,4
Senior,QA Tester,34,2,2,4,13,27,24,4
Trainee,Software Engineer,27,7,3,1,3,32,31,2
Junior,Software Engineer,35,8,2,5,2,49,0,1
Junior,System Administrator,58,28,2,2,3,3,34,2
Junior,Database Administrator,36,7,4,4,9,19,18,3
Senior,Database Administrator,25,7,4,5,16,35,11,4
Trainee,UI Designer,37,28,3,1,13,30,39,5
Trainee,Network Engineer,49,14,1,3,19,37,39,5
Trainee,Business Analyst,37,21,2,3,18,27,19,5
Senior,Security Analyst,25,18,2,2,12,2,32,4
Junior,Product Manager,47,6,5,3,12,5,28,4
Junior,QA Tester,49,4,1,2,1,44,15,1
Trainee,DevOps Engineer,53,10,5,2,8,22,13,2
Junior,Software Engineer,23,18,4,4,17,6,6,4
Junior,Software Engineer,52,12,4,4,7,35,5,2
Senior,UI Designer,24,16,3,2,9,0,20,3
Senior,DevOps Engineer,29,25,4,5,17,5,35,5
Senior,DevOps Engineer,45,7,4,5,10,23,21,3
Senior,UI Designer,36,6,4,3,4,36,39,2
Trainee,Software Engineer,52,28,3,3,7,44,18,2
Senior,Business Analyst,30,5,3,2,7,35,24,2
Junior,Data Scientist,23,3,4,4,8,23,2,2
Trainee,Data Scientist,29,12,1,4,8,37,35,3
Junior,UI Designer,28,15,3,1,16,44,33,5
Junior,DevOps Engineer,37,10,5,4,12,28,10,3
Junior,Product Manager,56,26,1,2,15,36,26,4
Senior,UI Designer,51,20,2,1,8,44,1,1
Senior,Business Analyst,31,19,2,4,9,31,5,2
Trainee,UI Designer,59,16,4,4,3,24,1,1
Trainee,UX Designer,39,28,1,3,16,9,16,4
Senior,Database Administrator,26,11,4,3,15,34,39,5
Junior,QA Tester,50,8,1,5,4,24,13,1
Trainee,DevOps Engineer,55,3,1,3,16,26,9,4
Senior,Network Engineer,44,23,4,4,10,44,32,4
Senior,System Administrator,26,7,2,1,11,31,11,3
Senior,System Administrator,51,23,5,1,5,11,31,2
Junior,DevOps Engineer,27,29,1,2,11,3,23,3
Senior,Network Engineer,25,7,3,3,13,41,13,3
Senior,Security Analyst,50,14,1,4,15,25,4,3
Senior,Business Analyst,44,2,2,2,6,2,4,1
Senior,UX Designer,27,10,5,2,16,16,31,5
Trainee,UX Designer,53,19,5,2,15,8,32,5
Trainee,Software Engineer,39,26,1,2,11,28,3,2
Senior,QA Tester,36,9,3,5,2,0,29,1
Junior,Data Scientist,53,16,4,4,2,17,16,1
Trainee,Data Analyst,30,19,2,1,12,40,2,2
Senior,Business Analyst,58,18,1,4,16,19,12,4
Trainee,Data Analyst,31,9,5,4,19,40,35,5
Trainee,Data Analyst,41,16,5,4,2,33,17,1
Junior,DevOps Engineer,27,13,5,1,17,27,22,5
Senior,System Administrator,24,10,4,3,14,47,34,5
Senior,System Administrator,32,25,4,1,16,34,32,5
Junior,Data Scientist,38,20,2,5,5,15,35,3
Junior,DevOps Engineer,53,14,1,4,10,20,16,3
Senior,Data Analyst,25,12,1,3,17,12,38,5
Senior,Network Engineer,25,25,4,2,13,34,33,4
Junior,Security Analyst,38,19,4,1,16,41,11,4
Trainee,Database Administrator,40,7,5,1,9,31,4,2
Trainee,Product Manager,26,23,5,5,4,49,39,3
Junior,System Administrator,53,15,5,1,16,37,26,5
Trainee,Business Analyst,43,16,5,1,11,5,39,4
Junior,Network Engineer,27,27,2,5,7,49,12,2
Trainee,Business Analyst,56,8,4,3,17,37,25,5
Trainee,Software Engineer,43,10,3,4,13,37,13,3
Senior,UI Designer,22,4,2,1,4,12,31,2
Senior,Product Manager,41,19,5,3,14,45,10,4
Trainee,System Administrator,43,19,5,2,10,38,37,4
Trainee,UX Designer,32,28,1,4,10,12,15,3
Senior,System Administrator,34,21,1,1,10,46,21,3
Senior,Network Engineer,24,27,4,3,12,11,15,3
Senior,Software Engineer,30,15,3,5,2,32,12,1
Junior,Business Analyst,33,14,5,3,9,27,11,2
Trainee,Data Analyst,44,1,2,3,5,2,17,1
Senior,UX Designer,35,16,1,1,8,17,28,3
Trainee,DevOps Engineer,54,10,2,1,14,25,17,4
Junior,QA Tester,39,19,1,4,7,39,1,1
Junior,Data Analyst,30,22,1,4,7,1,1,1
Senior,QA Tester,44,3,5,5,9,3,2,2
Junior,Product Manager,31,5,2,4,3,49,28,2
Trainee,Security Analyst,40,9,3,3,14,27,7,3
Senior,UI Designer,26,18,1,5,17,27,10,4
Trainee,Security Analyst,44,11,2,1,18,24,11,4
Trainee,UX Designer,51,16,5,3,12,25,31,4
Junior,Data Scientist,46,2,4,2,14,44,3,3
